,index,Date,Time,Location,Operator,Route,Flight#,Type,Registration,Serial#,Aboard,Fatalities,Ground,Summary
3196,3196,1980/01/02,0,Haiti,Haïti Air Inter,Port au Prince - Cape Haitien,6173,Britten Norman BN Islander,UR-FCO,474,9.0,9.0,0.0,Struck high ground in poor visibility while en route.
3197,3197,1980/01/11,01:23:00,Over the AtlantiOcean,Private charter,Shreveport - Baton Rouge,3116,Cessna 441 Conquest,NY-UMN,649,2.0,2.0,0.0,"The plane was on a 45 minute fight from Shreveport to Baton Rouge Louisiana. The aircraft climbed past its assigned altitude and veered to the northeast. The FAA  tried to contact the aircraft without success. Fighter jets was scrambled to intercept the plane but observed no one at the controls and got no response to radio calls. The plane rose to an altitude of 41,600 feet and headed out to sea. The plane eventually ran out of fuel, descended to about 25,000 feet, went into a spin and crashed into 1,100 feet of water. No wreckage or remains were ever recovered. The official cause remains unknown although it is believed the occupants lost consciousness due to oxygen deprivation. Louisiana State University football coach Robert 'Bo' Rein, 34, was killed."
3198,3198,1980/01/21,19:10:00,"Elburz Mtns., near Laskarak, Markazi, Iran",Iran National Airlines,Babol Sar - Tehran,2704,Boeing B-727-86,VU-JJA,19817/537,128.0,128.0,0.0,"The aircraft crashed into a mountain during a landing attempt in fog and snow. Inoperative ground radar, inoperative ILS. The aircraft was named 'Shiraz.'"
3199,3199,1980/01/23,0,"Mt. Cemonyet,  Indonesia",Pelita Air Service,/,6175,CASA 212 Aviocar 100,ZF-XCF,45/3N,13.0,13.0,0.0,"Hit high ground at 2,700 ft. in poor weather while on approach."
3200,3200,1980/01/24,06:20:00,"Near Mandalay, Burma",Military - Union of Burma Air Force,Mandalay - Rangoon,7031,Fairchild FH-227H,TE-DLG,545,44.0,43.0,0.0,Crashed into a building while attempting an emergency landing following the loss of one engine.
3201,3201,1980/02/03,0,"Baracoa, Cuba",Cubana de Aviacon,Moa - Baracoa,3461,Yakovlev YAK-40,YY-UOH,9840959,37.0,1.0,0.0,Crashed while attemping to land.
3202,3202,1980/02/21,0,"Sydney, NSW, Australia",Advance Airlines,Sydney - Tomora,4237,Beechcraft Super King Air 200,WJ-NHN,BB-0245,13.0,13.0,0.0,Crashed into a sea wall just 2 feet short of the runway while attemping an emergency landing.
3203,3203,1980/02/21,08:50:00,"Leeville, Louisiana",Rotor Airs In- Air Taxi,"Leeville, LA - Grand Isle, LA",8627,Sikorsky S-62A,MU-DYN,7649,7.0,6.0,0.0,"The helicopter experienced uncontrollable overspeeding, became airborne, lost power and crashed."
3204,3204,1980/02/22,0,"Near Agra, India",Military - Indian Air Force,/,2091,Fairchild C-119G,LZ-FTW,592,47.0,46.0,1.0,A bicyclist riding on the runway led the pilot to initiate a premature liftoff resulting in a stall. The plane was carrying paratroopers.
3205,3205,1980/02/27,06:00:00,"Manila, Philippines",China Airlines (Taiwan),Taipei - Manila,3643,Boeing B-707-309C,WE-YFF,20262/830,135.0,2.0,0.0,The aircraft undershot the runway and bounced twice. The two outboard engines broke loose and the wingtips were ripped off. A fire broke out and spread rapidly. Pilot error.
